# Description,Subject,Start Date, End Time
HST413 Summit US and Global Economics ,Week 03_Consumers and Producers ,2019-10-07,12:30 AM
OTH020A Summit Physical Education ,3.04: Day 4 Get to It! ,2019-10-07,8:59 PM
OTH020A Summit Physical Education ,3.05: Day 5 Get to It! ,2019-10-07,8:59 PM
OTH020A Summit Physical Education ,3.01 Quiz: Having a Healthy Cardiovascular System ,2019-10-07,8:59 PM
HST403 Summit US Government and Politics ,2.03 Discussion: Liberty vs. Order Today ,2019-10-07,8:59 PM
HST403 Summit US Government and Politics ,2.04 Quiz: American Government Part 3  ,2019-10-07,8:59 PM
ENG020 Summit Public Speaking ,2.05: Discuss: Narratives in Ads and Charitable Appeals ,2019-10-07,8:59 PM
ENG020 Summit Public Speaking ,2.06 Quiz: Managing Nerves ,2019-10-07,8:59 PM
HST413 Summit US and Global Economics ,2.02 Quiz:  Consumers and Producers Part 2 ,2019-10-07,8:59 PM
HST413 Summit US and Global Economics ,2.02 Graded Assignment: Practice - Playing Your Part ,2019-10-07,8:59 PM
HST403 Summit US Government and Politics ,WK 2 The Englightenment ,2019-10-07,8:59 PM
OTH020A Summit Physical Education ,4.01: Muscle Strength Endurance and Flexibility ,2019-10-08,8:59 PM
OTH020A Summit Physical Education ,3.02 Quiz: Day 2 Get to It! ,2019-10-08,8:59 PM
HST403 Summit US Government and Politics ,2.06 Graded Assignment: The Great Compromise ,2019-10-08,8:59 PM
HST403 Summit US Government and Politics ,2.06 Quiz: Creating and Ratifying the Constitution Part 2 ,2019-10-08,8:59 PM
ENG020 Summit Public Speaking ,2.01 Graded Assignment: What Is a Narrative? ,2019-10-08,8:59 PM
ENG403A Summit British and World Literature ,2.06: Discuss: The Stories People Tell ,2019-10-08,8:59 PM
OTH020A Summit Physical Education ,4.02: Day 2 Get to It! ,2019-10-09,8:59 PM
OTH020A Summit Physical Education ,3.03 Quiz: Day 3 Get to It! ,2019-10-09,8:59 PM
ENG020 Summit Public Speaking ,2.08: Discuss: Make a Speech ,2019-10-09,8:59 PM
HST413 Summit US and Global Economics ,2.04 Graded Assignment: Journal - You Make the Call ,2019-10-09,8:59 PM
OTH020A Summit Physical Education ,4.03: Day 3 Get to It! ,2019-10-10,8:59 PM
OTH020A Summit Physical Education ,3.04 Quiz: Day 4 Get to It! ,2019-10-10,8:59 PM
HST403 Summit US Government and Politics ,2.09 Graded Assignment: Explaining the Constitution ,2019-10-10,8:59 PM
HST403 Summit US Government and Politics ,2.09 Quiz: The Constitution Part 3 ,2019-10-10,8:59 PM
ENG403A Summit British and World Literature ,2.06 Discussion: The Stories People Tell ,2019-10-10,8:59 PM
HST413 Summit US and Global Economics ,2.05 Quiz: Consumer Choice Part 3 ,2019-10-10,8:59 PM
HST413 Summit US and Global Economics ,2.05 Graded Assignment: Practice - Are You a Tool of the Media? ,2019-10-10,8:59 PM
ENG403A Summit British and World Literature ,Canterbury tales mini lesson ,2019-10-11,11:00 AM
OTH020A Summit Physical Education ,4.04: Day 4 Get to It! ,2019-10-11,8:59 PM
OTH020A Summit Physical Education ,3.05 Quiz: Day 5 Get to It! ,2019-10-11,8:59 PM
OTH020A Summit Physical Education ,3.05 Journal: Get to It! ,2019-10-11,8:59 PM
HST403 Summit US Government and Politics ,2.11 Graded Assignment: Federal State Local ,2019-10-11,8:59 PM
HST403 Summit US Government and Politics ,2.11 Quiz: Federalism Part 2 ,2019-10-11,8:59 PM
ENG020 Summit Public Speaking ,2.09 Graded Assignment: View Reflect and Plan ,2019-10-11,8:59 PM
HST413 Summit US and Global Economics ,Week 04_Business Models ,2019-10-14,12:30 AM
OTH020A Summit Physical Education ,4.05: Day 5 Get to It! ,2019-10-14,8:59 PM
OTH020A Summit Physical Education ,5.01: Nutrition and Hydration ,2019-10-14,8:59 PM
OTH020A Summit Physical Education ,4.01 Quiz: Muscle Strength Endurance and Flexibility ,2019-10-14,8:59 PM
ENG403A Summit British and World Literature ,2.08 Graded Assignment: Characters and Their Tales ,2019-10-14,8:59 PM
HST413 Summit US and Global Economics ,2.08 Quiz: The Business of Business Part 3 ,2019-10-14,8:59 PM
HST413 Summit US and Global Economics ,2.08 Graded Assignment: Practice - Oligopoly ,2019-10-14,8:59 PM
HST403 Summit US Government and Politics ,WK 3 Feds versus Anti Feds ,2019-10-14,8:59 PM
OTH020A Summit Physical Education ,5.02: Day 2 Get to It! ,2019-10-15,8:59 PM
OTH020A Summit Physical Education ,4.02 Quiz: Day 2 Get to It! ,2019-10-15,8:59 PM
HST403 Summit US Government and Politics ,2.13 Unit Test: Constitutional Underpinnings - Part 1 ,2019-10-15,8:59 PM
HST403 Summit US Government and Politics ,2.13 Unit Test: Constitutional Underpinnings - Part 2 ,2019-10-15,8:59 PM
OTH020A Summit Physical Education ,5.03: Day 3 Get to It! ,2019-10-16,8:59 PM
OTH020A Summit Physical Education ,4.03 Quiz: Day 3 Get to It! ,2019-10-16,8:59 PM
ENG020 Summit Public Speaking ,3.05: Discuss: Setting Aside Barriers to Listening ,2019-10-16,8:59 PM
OTH020A Summit Physical Education ,5.04: Day 4 Get to It! ,2019-10-17,8:59 PM
OTH020A Summit Physical Education ,4.04 Quiz: Day 4 Get to It! ,2019-10-17,8:59 PM
HST403 Summit US Government and Politics ,3.02 Graded Assignment: The Congressional Record ,2019-10-17,8:59 PM
HST403 Summit US Government and Politics ,3.02 Quiz: The National Government Part 2 ,2019-10-17,8:59 PM
ENG020 Summit Public Speaking ,3.07 Quiz: Managing Nerves - Helpful Distractions ,2019-10-17,8:59 PM
